"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2017","1,271.60","1,267.60","1,272.00","1,260.50","0.05K","0.13%"
"Oct 05, 2017","1,269.90","1,277.80","1,277.80","1,267.60","0.04K","-0.30%"
"Oct 04, 2017","1,273.70","1,273.80","1,280.80","1,270.00","0.22K","0.17%"
"Oct 03, 2017","1,271.50","1,269.70","1,273.30","1,268.60","0.19K","-0.09%"
"Oct 02, 2017","1,272.70","1,275.00","1,276.10","1,270.40","0.14K","-0.69%"
"Sep 29, 2017","1,281.50","1,284.20","1,289.40","1,281.80","0.49K","-2.95%"
"Sep 28, 2017","1,320.40","1,320.10","1,320.10","1,314.00","0.00K","2.88%"
"Sep 27, 2017","1,283.40","1,283.40","1,283.40","1,283.40","0.02K","-1.05%"
"Sep 26, 2017","1,297.00","1,304.50","1,305.60","1,298.70","0.04K","-0.75%"
"Sep 25, 2017","1,306.80","1,293.10","1,309.20","1,291.00","0.05K","1.04%"
"Sep 22, 2017","1,293.30","1,295.00","1,295.70","1,293.60","0.21K","0.21%"
"Sep 21, 2017","1,290.60","1,299.10","1,304.10","1,290.30","0.34K","-1.63%"
"Sep 20, 2017","1,312.00","1,300.90","1,300.90","1,298.70","0.01K","0.44%"
"Sep 19, 2017","1,306.20","1,307.90","1,310.30","1,305.10","0.02K","-0.01%"
"Sep 18, 2017","1,306.30","1,309.80","1,310.40","1,306.00","0.13K","-1.07%"
"Sep 15, 2017","1,320.40","1,320.60","1,321.20","1,319.80","0.02K","-0.32%"
"Sep 14, 2017","1,324.70","1,319.60","1,329.30","1,319.60","0.32K","0.10%"
"Sep 13, 2017","1,323.40","1,323.40","1,323.40","1,323.40","1.78K","-0.35%"
"Sep 12, 2017","1,328.00","1,327.00","1,327.00","1,325.20","0.02K","-0.23%"
"Sep 11, 2017","1,331.00","1,330.00","1,330.00","1,327.30","0.01K","-1.11%"
"Sep 08, 2017","1,346.00","1,351.00","1,355.80","1,345.60","0.04K","0.07%"
"Sep 07, 2017","1,345.10","1,336.40","1,349.00","1,336.40","0.03K","0.84%"
"Sep 06, 2017","1,333.90","1,340.00","1,340.30","1,332.60","0.02K","-0.40%"
"Sep 05, 2017","1,339.20","1,335.20","1,337.00","1,328.60","0.07K","0.08%"
"Sep 04, 2017","1,338.08","1,341.21","1,344.59","1,337.01","-","-0.23%"
"Sep 03, 2017","1,341.22","1,340.54","1,342.07","1,338.96","-","1.26%"
"Sep 01, 2017","1,324.50","1,320.20","1,327.70","1,316.90","0.04K","0.63%"
"Aug 31, 2017","1,316.20","1,306.60","1,322.30","1,301.70","0.31K","0.62%"
"Aug 30, 2017","1,308.10","1,308.20","1,312.50","1,304.90","0.37K","-0.38%"
"Aug 29, 2017","1,313.10","1,318.80","1,323.80","1,314.00","0.30K","0.26%"
"Aug 28, 2017","1,309.70","1,293.50","1,311.30","1,293.50","0.15K","1.33%"
"Aug 25, 2017","1,292.50","1,285.40","1,292.70","1,280.30","0.28K","0.47%"
"Aug 24, 2017","1,286.50","1,288.70","1,288.70","1,284.00","0.55K","-0.19%"
"Aug 23, 2017","1,288.90","1,289.40","1,289.40","1,286.90","0.25K","0.30%"
"Aug 22, 2017","1,285.10","1,287.20","1,288.40","1,283.20","0.10K","-0.44%"
"Aug 21, 2017","1,290.80","1,285.20","1,290.80","1,284.70","0.02K","0.40%"
